strain_name,lat,long,date
EPI178457,35.3732921,-119.0187125,2009-04-01
EPI178468,40.6333333,-8.65,2009-04-01
EPI178472,-36.85,174.7833333,2009-04-01
EPI178476,31.5,34.75,2009-04-01
EPI178487,30.267153,-97.7430608,2009-04-15
EPI178507,54,-4,2009-04-28
EPI178514,-43.5,171.5,2009-04-29
EPI178942,37,127.5,2009-05-02
EPI178984,40.7142691,-74.0059729,2009-04-27
EPI178998,45.00015043,-62.99865299,2009-05-01
EPI178999,49.25013563,-84.49983432,2009-05-01
EPI179000,49.25013563,-84.49983432,2009-05-01
EPI179001,23,-102,2009-05-01
EPI179002,60,-96,2009-05-01
EPI179003,45.00015043,-62.99865299,2009-05-01
EPI179066,13.75,100.5,2009-05-07
EPI179071,-27.46793573,153.0280924,2009-05-07
EPI179074,13.8333333,-88.9166667,2009-04-26
EPI179080,23,-102,2009-04-02
EPI179083,23,-102,2009-04-02
EPI179087,23,-102,2009-04-13
EPI179089,23,-102,2009-04-15
EPI179092,23,-102,2009-04-14
EPI179094,23,-102,2009-04-14
EPI179098,23,-102,2009-04-17
EPI179100,23,-102,2009-04-20
EPI179102,23,-102,2009-04-20
EPI179104,23,-102,2009-04-20
EPI179109,23,-102,2009-04-20
EPI179110,23,-102,2009-04-20
EPI179111,23,-102,2009-04-20
EPI179113,35.0844909,-106.6511367,2009-04-26
EPI179117,35.3732921,-119.0187125,2009-04-24
EPI179118,39.0003906,-75.4999224,2009-04-28
EPI179121,39.0003906,-75.4999224,2009-04-28
EPI179124,28.7505408,-82.5000976,2009-04-27
EPI179134,39.000388,-76.749969,2009-04-29
EPI179139,41.5002828,-99.7506736,2009-04-27
EPI179144,42.9956397,-71.4547891,2009-04-28
EPI179147,40.1670562,-74.4998748,2009-04-01
EPI179150,40.1670562,-74.4998748,2009-04-01
EPI179154,40.7142691,-74.0059729,2009-04-01
EPI179155,40.7142691,-74.0059729,2009-04-01
EPI179156,40.7142691,-74.0059729,2009-04-25
EPI179158,40.7142691,-74.0059729,2009-04-25
EPI179168,40.7142691,-74.0059729,2009-04-24
EPI179170,40.7142691,-74.0059729,2009-04-01
EPI179171,40.7142691,-74.0059729,2009-04-25
EPI179172,40.7142691,-74.0059729,2009-04-25
EPI179173,40.7142691,-74.0059729,2009-04-25
EPI179174,40.7142691,-74.0059729,2009-04-25
EPI179175,35.5006942,-80.0003243,2009-04-28
EPI179182,35.7503468,-86.250271,2009-04-28
EPI179189,30.267153,-97.7430608,2009-04-26
EPI179195,30.267153,-97.7430608,2009-04-27
EPI179200,36.8529263,-75.977985,2009-04-27
EPI179205,38.8951118,-77.0363658,2009-04-28
EPI179209,44.5002368,-90.0004077,2009-04-27
