strain_name,lat,long,date
EPI189161,1.3666667,103.8,2009-05-30
EPI189164,1.3666667,103.8,2009-06-17
EPI189170,1.3666667,103.8,2009-06-17
EPI189173,4,-56,2009-06-09
EPI189179,4,-56,2009-06-11
EPI189182,30.267153,-97.7430608,2009-04-15
EPI189189,39.2502391,-111.7510337,2009-06-14
EPI189197,39.2502391,-111.7510337,2009-06-14
EPI189201,39.2502391,-111.7510337,2009-06-14
EPI189206,47.0002454,-109.7510212,2009-05-05
EPI189209,40.7142691,-74.0059729,2009-07-02
EPI189212,35.6853569,139.753089,2009-07-02
EPI190198,56,10,2009-06-04
EPI190206,56,10,2009-06-04
EPI190214,56,10,2009-06-09
EPI190219,35,105,2009-06-29
EPI190224,32.0616667,118.7777778,2009-06-17
EPI190444,40.8667653,-72.7995456,2009-05-20
EPI190452,41.7667606,-73.7329073,2009-05-20
EPI190460,41.7667606,-73.7329073,2009-05-19
EPI190468,40.7142691,-74.0059729,2009-05-26
EPI190476,41.7667606,-73.7329073,2009-05-29
EPI190484,40.7142691,-74.0059729,2009-05-18
EPI190492,40.8667653,-72.7995456,2009-06-03
EPI190508,42.9667327,-76.5829983,2009-06-10
EPI190516,43.1000742,-73.849567,2009-06-17
EPI190524,42.6525793,-73.7562317,2009-05-17
EPI190532,43.0481221,-76.1474244,2009-05-19
EPI190544,28.15,113.6333333,2009-06-13
EPI190631,35.9080659,139.6565723,2009-06-03
EPI190632,35.9080659,139.6565723,2009-05-21
EPI190783,30.267153,-97.7430608,2009-04-14
EPI190791,30.267153,-97.7430608,2009-04-15
EPI190799,30.267153,-97.7430608,2009-04-23
EPI190807,24,121,2009-05-19
EPI190815,25.0391667,121.525,2009-05-22
EPI190839,25.0391667,121.525,2009-05-30
EPI190847,4,-72,2009-06-25
EPI190855,12.1508333,-86.2683333,2009-06-26
EPI190863,19.4341667,-99.1386111,2009-04-25
EPI190871,39.000388,-76.749969,2009-06-16
EPI190887,39.000388,-76.749969,2009-06-18
EPI190911,55.00019191,-97.00049444,2009-07-01
EPI190912,52.28332893,-117.4690019,2009-04-28
EPI190913,45.00015043,-62.99865299,2009-04-29
EPI190914,45.00015043,-62.99865299,2009-04-29
EPI190915,45.00015043,-62.99865299,2009-04-30
EPI190916,46.81227912,-71.21453762,2009-04-26
EPI190917,49.25013563,-84.49983432,2009-04-27
EPI190918,52.28332893,-117.4690019,2009-05-01
EPI190919,46.81227912,-71.21453762,2009-05-08
EPI190920,55.00019191,-97.00049444,2009-04-30
EPI190921,55.00019191,-97.00049444,2009-05-07
EPI190922,55.00019191,-97.00049444,2009-05-07
EPI191771,56.8575,60.6125,2009-05-01
EPI191776,43.25,76.95,2009-05-01
EPI191935,38.8951118,-77.0363658,2009-07-14
EPI191937,38.8951118,-77.0363658,2009-07-28
EPI191939,8,-5,2009-06-16
EPI191948,15,-86.5,2009-06-17
EPI191954,-34,-64,2009-06-17
EPI191959,40.0003204,-89.2503681,2009-06-13
EPI191961,1.3666667,103.8,2009-06-22
EPI191970,39.2502391,-111.7510337,2009-06-12
EPI191971,2,33,2009-07-02
EPI191980,55.7522222,37.6155556,2009-06-20
EPI191989,45,135,2009-07-22
EPI191996,45,135,2009-07-24
EPI192680,49.25013563,-84.49983432,2009-07-03
EPI192718,56,106,2009-05-01
EPI192741,1.3666667,103.8,2009-06-14
EPI192742,1.3666667,103.8,2009-06-14
EPI192743,1.3666667,103.8,2009-06-14
EPI192744,1.3666667,103.8,2009-06-14
EPI192745,55,73.4,2009-05-01
EPI192750,40.8667653,-72.7995456,2009-05-31
EPI192758,43.0481221,-76.1474244,2009-05-20
EPI192766,42.8142432,-73.9395687,2009-05-21
EPI192782,42.0986867,-75.9179738,2009-05-20
EPI192790,42.8142432,-73.9395687,2009-05-21
EPI192798,43.0481221,-76.1474244,2009-05-18
EPI192806,43.0481221,-76.1474244,2009-05-19
EPI192814,42.4500727,-76.4663283,2009-05-25
EPI192830,43.0481221,-76.1474244,2009-05-26
EPI192838,43.0481221,-76.1474244,2009-05-22
EPI192846,40.8667653,-72.7995456,2009-05-24
EPI192854,41.7667606,-73.7329073,2009-05-21
EPI192862,40.700103,-73.7995781,2009-05-15
EPI192870,40.700103,-73.7995781,2009-05-16
EPI192878,40.7142691,-74.0059729,2009-06-01
EPI192886,42.7167452,-73.4828911,2009-06-02
EPI192918,41.8834262,-74.2501477,2009-05-31
EPI192926,42.1667408,-76.2663218,2009-06-09
EPI192934,41.4167605,-74.3162633,2009-06-10
EPI192942,43.8000693,-75.4829618,2009-06-09
EPI192950,42.6525793,-73.7562317,2009-06-13
EPI192958,40.7142691,-74.0059729,2009-06-19
EPI192982,40.7506561,-73.582905,2009-05-22
EPI193157,40.7506561,-73.582905,2009-05-19
EPI193165,43.0481221,-76.1474244,2009-05-26
EPI193173,42.2667396,-77.3330356,2009-06-02
EPI193181,43.8000693,-75.4829618,2009-06-02
EPI193189,42.46674,-75.5829625,2009-06-01
EPI193197,42.46674,-75.5829625,2009-05-31
EPI193205,42.0986867,-75.9179738,2009-06-10
EPI193221,43.0481221,-76.1474244,2009-06-08
EPI193229,43.1009031,-75.2326641,2009-06-10
EPI193464,49.25013563,-84.49983432,2009-07-06
EPI193472,51.9166667,11.5,2009-05-04
EPI193480,51.9166667,11.5,2009-05-06
EPI193493,49.015,12.0955556,2009-05-01
EPI193853,-30,-71,2009-08-17
EPI194067,49.25013563,-84.49983432,2009-05-24
EPI194075,49.25013563,-84.49983432,2009-05-09
EPI194083,49.25013563,-84.49983432,2009-07-07
EPI194091,49.25013563,-84.49983432,2009-05-30
EPI194099,49.25013563,-84.49983432,2009-06-09
EPI194107,49.25013563,-84.49983432,2009-06-17
EPI194310,15,100,2009-07-02
EPI194311,15,100,2009-07-02
EPI194312,15,100,2009-07-02
EPI194313,15,100,2009-07-02
EPI194333,15,100,2009-06-13
EPI194341,15,100,2009-06-17
EPI194357,44.5002368,-90.0004077,2009-05-01
EPI194365,44.5002368,-90.0004077,2009-05-02
EPI194373,44.5002368,-90.0004077,2009-05-02
EPI194381,44.5002368,-90.0004077,2009-05-03
EPI194389,44.5002368,-90.0004077,2009-05-04
EPI194397,44.5002368,-90.0004077,2009-05-03
EPI194405,44.5002368,-90.0004077,2009-05-02
EPI194413,44.5002368,-90.0004077,2009-05-03
EPI194421,44.5002368,-90.0004077,2009-05-04
EPI194429,44.5002368,-90.0004077,2009-04-30
EPI194437,44.5002368,-90.0004077,2009-05-02
EPI194445,44.5002368,-90.0004077,2009-05-03
EPI194453,44.5002368,-90.0004077,2009-05-03
EPI194461,44.5002368,-90.0004077,2009-05-01
EPI194469,44.5002368,-90.0004077,2009-04-29
EPI194477,44.5002368,-90.0004077,2009-04-29
EPI194485,44.5002368,-90.0004077,2009-05-01
EPI194493,44.5002368,-90.0004077,2009-05-04
EPI194501,44.5002368,-90.0004077,2009-04-28
EPI194509,44.5002368,-90.0004077,2009-05-02
EPI194517,44.5002368,-90.0004077,2009-05-03
EPI194525,44.5002368,-90.0004077,2009-04-30
EPI194533,44.5002368,-90.0004077,2009-05-04
EPI194541,44.5002368,-90.0004077,2009-05-03
EPI194549,44.5002368,-90.0004077,2009-05-02
EPI194557,44.5002368,-90.0004077,2009-04-30
EPI194565,44.5002368,-90.0004077,2009-05-02
EPI194573,44.5002368,-90.0004077,2009-05-04
EPI194581,44.5002368,-90.0004077,2009-04-30
EPI194589,44.5002368,-90.0004077,2009-04-30
EPI194597,44.5002368,-90.0004077,2009-05-01
EPI194605,44.5002368,-90.0004077,2009-05-02
EPI194613,44.5002368,-90.0004077,2009-05-04
EPI194621,44.5002368,-90.0004077,2009-04-30
EPI194629,44.5002368,-90.0004077,2009-05-01
EPI194637,44.5002368,-90.0004077,2009-05-04
EPI194645,44.5002368,-90.0004077,2009-04-30
EPI194653,44.5002368,-90.0004077,2009-05-04
EPI194661,44.5002368,-90.0004077,2009-05-01
EPI194669,44.5002368,-90.0004077,2009-05-04
EPI194677,44.5002368,-90.0004077,2009-05-04
EPI194685,44.5002368,-90.0004077,2009-04-30
EPI194693,44.5002368,-90.0004077,2009-05-04
EPI194701,44.5002368,-90.0004077,2009-05-04
EPI194709,44.5002368,-90.0004077,2009-05-08
EPI194717,44.5002368,-90.0004077,2009-05-10
EPI194725,44.5002368,-90.0004077,2009-05-06
EPI194733,44.5002368,-90.0004077,2009-05-09
EPI194741,44.5002368,-90.0004077,2009-05-08
EPI194749,44.5002368,-90.0004077,2009-05-08
EPI194757,44.5002368,-90.0004077,2009-05-08
EPI194765,44.5002368,-90.0004077,2009-05-10
EPI194773,44.5002368,-90.0004077,2009-05-07
EPI194781,44.5002368,-90.0004077,2009-05-09
EPI194789,44.5002368,-90.0004077,2009-05-16
EPI194797,44.5002368,-90.0004077,2009-05-15
EPI194805,44.5002368,-90.0004077,2009-05-16
EPI194813,44.5002368,-90.0004077,2009-05-16
EPI194821,44.5002368,-90.0004077,2009-05-14
EPI194829,44.5002368,-90.0004077,2009-05-14
EPI194837,44.5002368,-90.0004077,2009-05-14
EPI194845,44.5002368,-90.0004077,2009-05-13
EPI194853,44.5002368,-90.0004077,2009-05-14
EPI194861,44.5002368,-90.0004077,2009-05-16
EPI194869,44.5002368,-90.0004077,2009-05-24
EPI194877,44.5002368,-90.0004077,2009-05-20
EPI194885,44.5002368,-90.0004077,2009-05-19
EPI194893,44.5002368,-90.0004077,2009-05-20
EPI194901,44.5002368,-90.0004077,2009-05-20
EPI194909,44.5002368,-90.0004077,2009-05-19
EPI194917,44.5002368,-90.0004077,2009-05-22
EPI194925,44.5002368,-90.0004077,2009-05-19
EPI194933,44.5002368,-90.0004077,2009-05-22
EPI194941,44.5002368,-90.0004077,2009-05-19
EPI194949,44.5002368,-90.0004077,2009-05-26
EPI194957,44.5002368,-90.0004077,2009-05-27
EPI194965,44.5002368,-90.0004077,2009-05-28
EPI194973,44.5002368,-90.0004077,2009-05-30
EPI194981,44.5002368,-90.0004077,2009-05-27
EPI194989,44.5002368,-90.0004077,2009-05-30
EPI194997,44.5002368,-90.0004077,2009-05-28
EPI195005,44.5002368,-90.0004077,2009-05-27
EPI195013,44.5002368,-90.0004077,2009-04-30
EPI195021,44.5002368,-90.0004077,2009-05-02
EPI195029,44.5002368,-90.0004077,2009-05-04
EPI195037,44.5002368,-90.0004077,2009-05-04
EPI195045,44.5002368,-90.0004077,2009-05-04
EPI195053,44.5002368,-90.0004077,2009-05-03
EPI195061,44.5002368,-90.0004077,2009-05-04
EPI195069,44.5002368,-90.0004077,2009-05-28
EPI195077,44.5002368,-90.0004077,2009-05-28
EPI195085,44.5002368,-90.0004077,2009-05-04
EPI195185,-33.42628385,-70.56655884,2009-06-18
EPI195187,-33.42628385,-70.56655884,2009-06-24
EPI195192,-33.42628385,-70.56655884,2009-06-30
EPI195200,-33.42628385,-70.56655884,2009-07-07
EPI195217,-23.5475,-46.63611111,2009-07-19
EPI195218,-23.5475,-46.63611111,2009-08-01
EPI195219,-23.5475,-46.63611111,2009-08-01
EPI195220,-23.5475,-46.63611111,2009-08-01
EPI195221,-23.5475,-46.63611111,2009-08-02
EPI195222,-23.5475,-46.63611111,2009-08-01
EPI195223,-23.5475,-46.63611111,2009-08-05
EPI195224,-23.5475,-46.63611111,2009-08-05
EPI195225,-23.5475,-46.63611111,2009-08-09
EPI195226,1.3666667,103.8,2009-07-27
EPI195277,43.0481221,-76.1474244,2009-05-26
EPI195285,42.8142432,-73.9395687,2009-05-21
EPI195293,40.7506561,-73.582905,2009-05-01
GQ247724,-23.5475,-46.63611111,2009-04-29
taxid641807,39.76,-98.5,2009-03-30
taxid643959,39.76,-98.5,2009-04-26
taxid644641,39.76,-98.5,2009-04-27
taxid644643,39.76,-98.5,2009-04-27
taxid644645,39.76,-98.5,2009-04-27
taxid644646,39.76,-98.5,2009-04-29
taxid645724,22.2840136,114.1500735,2009-04-30
taxid648109,35.6853569,139.753089,2009-05-01
taxid648110,35.6853569,139.753089,2009-05-01
taxid651095,39.76,-98.5,2009-05-06
taxid651097,39.76,-98.5,2009-05-06
taxid653886,51.5,10.5,2009-05-01
taxid653947,-30,-71,2009-06-11
taxid654419,35,105,2009-05-28
taxid655292,39.76,-98.5,2009-05-11
taxid655294,39.76,-98.5,2009-05-16
taxid655297,39.76,-98.5,2009-05-13
taxid655298,39.76,-98.5,2009-05-14
taxid655984,35.6853569,139.753089,2009-06-07
taxid656890,35,105,2009-06-06
taxid657077,22.2840136,114.1500735,2009-06-11
taxid658032,51.5,10.5,2009-04-29
taxid658033,51.5,10.5,2009-05-02
taxid658034,51.5,10.5,2009-05-04
taxid658113,-10,-55,2009-05-27
taxid658114,-10,-55,2009-05-28
taxid658115,-10,-55,2009-06-05
taxid658179,60,100,2009-05-21
taxid658180,60,100,2009-05-26
taxid658205,52.28332893,-117.4690019,2009-05-03
taxid658207,52.28332893,-117.4690019,2009-05-03
taxid658208,52.28332893,-117.4690019,2009-05-05
taxid658210,52.28332893,-117.4690019,2009-05-03
taxid658211,52.28332893,-117.4690019,2009-05-03
taxid658213,52.28332893,-117.4690019,2009-05-03
taxid658214,52.28332893,-117.4690019,2009-05-05
taxid659132,39.76,-98.5,2009-05-01
taxid659134,39.76,-98.5,2009-04-30
taxid659135,39.76,-98.5,2009-05-01
taxid659136,39.76,-98.5,2009-05-29
taxid659139,39.76,-98.5,2009-05-04
taxid659140,39.76,-98.5,2009-04-25
taxid659141,39.76,-98.5,2009-05-18
taxid659143,39.76,-98.5,2009-04-29
taxid659145,39.76,-98.5,2009-04-30
taxid659146,39.76,-98.5,2009-04-25
taxid659147,39.76,-98.5,2009-05-22
taxid659148,39.76,-98.5,2009-05-31
taxid659149,39.76,-98.5,2009-05-06
taxid659151,39.76,-98.5,2009-04-30
taxid659474,39.76,-98.5,2009-05-11
taxid659485,39.76,-98.5,2009-05-25
taxid659488,39.76,-98.5,2009-05-11
taxid662554,-10,-55,2009-05-20
taxid662555,-10,-55,2009-05-29
taxid662556,-10,-55,2009-05-29
taxid662557,-10,-55,2009-05-29
taxid662558,-10,-55,2009-07-03
