strain_name,latitude,longitude,date
EPI180257,39.91,116.40,2009-05-15
EPI180270,36.19,117.12,2009-05-10
EPI180345,59.91,10.74,2009-05-07
EPI180362,40.71,-74.01,2009-05-01
EPI180370,40.71,-74.01,2009-05-01
EPI180378,40.70,-73.80,2009-05-01
EPI180386,40.71,-74.01,2009-04-28
EPI180394,40.70,-73.80,2009-04-25
EPI180426,40.70,-73.80,2009-05-01
EPI180442,40.70,-73.80,2009-04-28
EPI180450,40.70,-73.80,2009-04-28
EPI180458,40.70,-73.80,2009-04-28
EPI180466,40.70,-73.80,2009-05-01
EPI180490,40.75,-73.58,2009-05-01
EPI180498,40.70,-73.80,2009-05-01
EPI180506,40.70,-73.80,2009-05-01
EPI180514,40.71,-74.01,2009-04-27
EPI180522,40.70,-73.80,2009-04-27
EPI180530,40.71,-74.01,2009-05-01
EPI180557,48.85,2.35,2009-04-29
EPI180562,48.85,2.35,2009-04-30
EPI180568,48.85,2.35,2009-04-30
EPI180574,30.27,-97.74,2009-04-09
EPI180575,48.85,2.35,2009-05-01
EPI180584,34.50,-111.50,2009-04-26
EPI180586,34.50,-111.50,2009-04-26
EPI180589,34.50,-111.50,2009-04-27
EPI180592,35.37,-119.02,2009-04-24
EPI180594,38.83,-104.82,2009-04-27
EPI180596,38.83,-104.82,2009-04-26
EPI180599,39.00,-75.50,2009-04-28
EPI180602,44.50,-114.25,2009-04-28
EPI180605,23.00,-102.00,2009-04-03
EPI180607,41.50,-99.75,2009-04-01
EPI180610,40.71,-74.01,2009-04-24
EPI180613,40.71,-74.01,2009-04-01
EPI180615,40.71,-74.01,2009-04-25
EPI180618,35.47,-97.52,2009-04-28
EPI180622,34.00,-81.00,2009-04-26
EPI180626,30.27,-97.74,2009-04-14
EPI180629,23.36,116.68,2009-05-18
EPI180659,30.26,120.17,2009-05-23
EPI180667,26.55,117.84,2009-05-22
EPI180675,31.22,121.46,2009-05-23
EPI180683,39.91,116.40,2009-05-15
EPI180691,39.91,116.40,2009-05-20
EPI180703,40.70,-73.80,2009-05-01
EPI180714,35.69,139.75,2009-05-17
EPI180715,35.69,139.75,2009-05-17
EPI180716,35.69,139.75,2009-05-01
EPI180717,35.69,139.75,2009-05-16
EPI180718,35.69,139.75,2009-05-16
EPI180719,35.69,139.75,2009-05-16
EPI180720,35.69,139.75,2009-05-17
EPI180723,55.75,37.62,2009-05-01
EPI180747,59.50,8.67,2009-05-08
EPI180755,19.43,-99.14,2009-04-25
EPI180963,40.70,-73.80,2009-04-26
EPI180971,40.70,-73.80,2009-04-26
EPI180979,40.70,-73.80,2009-04-26
EPI180987,40.70,-73.80,2009-05-02
EPI180995,42.63,-75.02,2009-04-27
EPI181003,40.70,-73.80,2009-04-28
EPI181011,40.71,-74.01,2009-04-26
EPI181019,40.71,-74.01,2009-04-28
EPI181030,40.71,-74.01,2009-04-30
EPI181038,40.70,-73.80,2009-05-01
EPI181043,40.71,-74.01,2009-04-30
EPI181057,40.71,-74.01,2009-05-01
EPI181060,40.70,-73.80,2009-05-01
EPI181068,40.70,-73.80,2009-05-01
EPI181076,40.70,-73.80,2009-05-01
EPI181084,40.70,-73.80,2009-05-01
EPI181092,40.75,-73.58,2009-05-01
EPI181100,40.70,-73.80,2009-05-01
EPI181117,40.70,-73.80,2009-05-01
EPI181125,40.71,-74.01,2009-04-29
EPI181133,40.71,-74.01,2009-04-29
EPI181141,40.71,-74.01,2009-04-29
EPI181143,40.70,-73.80,2009-04-28
EPI181151,40.70,-73.80,2009-04-25
EPI181159,40.70,-73.80,2009-05-01
EPI181167,40.70,-73.80,2009-07-02
EPI181175,39.91,116.40,2009-07-02
EPI181276,23.36,116.68,2009-05-29
EPI181318,30.26,120.17,2009-05-23
EPI181326,31.22,121.46,2009-05-23
EPI181334,26.55,117.84,2009-05-22
EPI181342,39.91,116.40,2009-05-15
EPI181350,39.91,116.40,2009-05-20
EPI181355,59.50,18.00,2009-05-08
EPI181363,53.48,-2.24,2009-04-30
EPI181371,51.45,-2.58,2009-04-30
EPI181377,22.25,114.17,2009-04-30
EPI181669,40.71,-74.01,2009-04-28
EPI181677,40.71,-74.01,2009-04-28
EPI181685,40.71,-74.01,2009-04-29
EPI181693,40.71,-74.01,2009-04-26
EPI181701,40.71,-74.01,2009-05-01
EPI181709,40.71,-74.01,2009-04-28
EPI181717,40.71,-74.01,2009-04-29
EPI181725,40.70,-73.80,2009-04-28
EPI181733,45.46,9.19,2009-05-21
EPI181739,4.00,-72.00,2009-05-02
EPI181744,10.00,-84.00,2009-04-28
EPI181748,44.00,-72.75,2009-05-04
EPI181751,34.00,-81.00,2009-04-26
EPI181756,40.00,-89.25,2009-04-24
EPI181762,41.75,-71.50,2009-04-28
EPI181766,47.50,-100.00,2009-05-11
EPI181770,38.20,-84.88,2009-04-30
EPI181774,40.71,-74.01,2009-04-25
EPI181778,40.71,-74.01,2009-04-24
EPI181785,44.50,-100.25,2009-05-05
EPI181788,40.25,-83.00,2009-05-05
EPI181791,30.27,-97.74,2009-04-29
EPI181794,31.00,-92.00,2009-05-01
EPI181797,31.00,-92.00,2009-04-30
EPI181800,38.25,-92.50,2009-05-04
EPI181803,38.25,-92.50,2009-05-01
EPI181806,44.50,-90.00,2009-05-04
EPI181809,40.71,-74.01,2009-04-25
EPI181812,40.71,-74.01,2009-04-25
EPI181815,30.27,-97.74,2009-04-23
EPI181818,40.25,-83.00,2009-04-30
EPI181820,44.50,-100.25,2009-04-30
EPI181822,44.50,-90.00,2009-05-04
EPI181824,40.71,-74.01,2009-04-25
EPI181827,30.27,-97.74,2009-04-24
EPI181829,30.27,-97.74,2009-04-23
EPI181831,34.50,-111.50,2009-04-28
EPI181833,39.00,-75.50,2009-04-28
EPI181835,40.71,-74.01,2009-04-25
EPI181836,35.37,-119.02,2009-04-25
EPI181840,38.90,-77.04,2009-04-27
EPI181841,35.37,-119.02,2009-04-21
EPI181843,35.37,-119.02,2009-05-09
EPI181845,39.91,116.40,2009-05-23
EPI181853,23.36,116.68,2009-05-27
EPI181861,-37.81,144.96,2009-05-21
EPI181863,-37.81,144.96,2009-05-19
EPI181865,-31.93,115.83,2009-05-26
EPI181867,-20.00,134.00,2009-05-29
EPI181869,13.00,122.00,2009-05-20
EPI181871,13.00,122.00,2009-05-25
EPI181872,13.00,122.00,2009-05-25
EPI181873,13.00,122.00,2009-05-23
EPI181878,48.85,2.35,2009-05-01
EPI181882,48.85,2.35,2009-05-11
EPI182196,23.36,116.68,2009-05-27
EPI182204,39.91,116.40,2009-05-23
EPI182209,40.87,-72.80,2009-04-29
EPI182217,40.71,-74.01,2009-04-28
EPI182225,40.75,-73.58,2009-04-28
EPI182233,40.71,-74.01,2009-04-28
EPI182241,40.87,-72.80,2009-04-27
EPI182249,40.70,-73.80,2009-04-27
EPI182257,40.70,-73.80,2009-04-26
EPI182271,55.75,37.62,2009-05-21
EPI182280,-23.55,-46.64,2009-04-29
EPI182282,55.75,37.62,2009-05-01
EPI182416,23.36,116.68,2009-05-29
EPI182422,42.83,12.83,2009-05-03
EPI182533,31.22,121.46,2009-05-31
EPI182541,31.22,121.46,2009-05-31
EPI182549,45.71,11.36,2009-06-03
EPI182558,45.52,11.71,2009-06-02
EPI182561,-34.93,138.60,2009-05-01
EPI182593,31.22,121.46,2009-05-31
EPI182600,54.54,36.27,2009-05-22
EPI182603,55.75,37.62,2009-05-26
EPI182604,55.75,37.62,2009-05-26
EPI182674,40.71,-74.01,2009-05-01
EPI182682,40.71,-74.01,2009-05-01
EPI182689,40.70,-73.80,2009-04-25
EPI182697,40.70,-73.80,2009-04-24
EPI182705,40.70,-73.80,2009-04-28
EPI182713,40.75,-73.58,2009-04-27
EPI182721,40.70,-73.80,2009-04-28
EPI182729,40.71,-74.01,2009-04-28
EPI182737,40.70,-73.80,2009-04-28
EPI182745,40.71,-74.01,2009-05-02
EPI182753,40.70,-73.80,2009-04-26
EPI182761,40.75,-73.58,2009-04-25
EPI182769,40.87,-72.80,2009-04-30
EPI182777,40.70,-73.80,2009-05-01
EPI182785,40.83,-73.92,2009-05-01
EPI182793,43.05,-76.15,2009-05-04
EPI182859,32.06,118.78,2009-06-15
EPI182860,35.69,139.75,2009-05-18
EPI182863,35.69,139.75,2009-05-21
EPI182865,35.25,136.00,2009-05-22
EPI182885,35.69,139.75,2009-05-21
EPI182904,23.36,116.68,2009-05-18
EPI182905,51.83,-0.25,2009-05-09
EPI182963,32.06,118.78,2009-06-18
EPI182977,35.37,-119.02,2009-04-01
EPI182994,64.00,26.00,2009-05-26
EPI182999,64.00,26.00,2009-05-28
EPI183007,42.83,12.83,2009-05-27
EPI183011,35.69,139.75,2009-06-07
EPI183013,35.25,136.00,2009-05-19
EPI183015,35.25,136.00,2009-06-06
EPI183017,35.69,139.75,2009-06-02
EPI183019,35.69,139.75,2009-06-09
EPI183060,26.55,117.84,2009-05-28
EPI183077,55.75,37.62,2009-05-01
EPI183104,34.50,-111.50,2009-05-19
EPI183107,34.50,-111.50,2009-05-19
EPI183113,34.75,-92.50,2009-05-07
EPI183121,60.00,-96.00,2009-04-24
EPI183124,4.00,-72.00,2009-05-04
EPI183131,13.83,-88.92,2009-05-13
EPI183134,54.00,-4.00,2009-04-28
EPI183139,28.75,-82.50,2009-05-01
EPI183144,28.75,-82.50,2009-04-30
EPI183156,40.00,-89.25,2009-05-23
EPI183160,38.20,-84.88,2009-05-01
EPI183166,38.20,-84.88,2009-05-01
EPI183171,31.00,-92.00,2009-05-01
EPI183174,45.50,-69.25,2009-05-09
EPI183177,42.37,-71.11,2009-05-01
EPI183202,23.00,-102.00,2009-04-14
EPI183209,44.25,-85.50,2009-05-01
EPI183233,13.75,100.50,2009-05-04
EPI183241,9.00,-80.00,2009-05-11
EPI183250,-22.99,-58.00,2009-05-20
EPI183254,41.75,-71.50,2009-04-30
EPI183267,30.27,-97.74,2009-05-12
EPI183271,30.27,-97.74,2009-05-12
EPI183276,39.25,-111.75,2009-05-01
EPI183285,38.90,-77.04,2009-05-07
EPI183289,38.50,-80.50,2009-05-24
EPI183301,19.00,-70.67,2009-04-30
EPI183304,35.37,-119.02,2009-04-30
EPI183311,51.92,4.48,2009-04-29
EPI183313,52.50,5.75,2009-05-01
EPI183317,30.27,-97.74,2009-05-11
EPI183340,31.22,121.46,2009-05-24
EPI183358,48.50,7.50,2009-05-06
EPI183365,48.50,7.50,2009-05-06
EPI183370,48.85,2.35,2009-05-17
EPI183376,48.85,2.35,2009-05-22
EPI183382,48.08,-1.68,2009-05-23
EPI183386,48.85,2.35,2009-06-02
EPI183393,49.18,-0.37,2009-06-02
EPI183399,48.85,2.35,2009-06-02
EPI183643,30.26,120.17,2009-05-31
EPI183678,31.22,121.46,2009-05-24
EPI183729,40.71,-74.01,2009-04-29
EPI183738,40.70,-73.80,2009-04-26
EPI183746,40.71,-74.01,2009-05-01
EPI183770,43.05,-76.15,2009-05-08
EPI183786,40.75,-73.58,2009-05-04
EPI183802,41.17,-74.05,2009-05-17
EPI183810,40.93,-73.90,2009-05-02
EPI183818,40.70,-73.80,2009-05-06
EPI183826,40.65,-73.95,2009-05-06
EPI183834,40.83,-73.92,2009-04-28
EPI184068,55.75,37.62,2009-06-03
EPI184237,34.97,138.38,2009-05-01
EPI184284,49.61,6.13,2009-06-01
EPI184301,23.00,-102.00,2009-04-15
EPI184307,44.25,-85.50,2009-04-24
EPI184319,30.27,-97.74,2009-04-26
EPI184325,46.25,-94.25,2009-04-27
EPI184326,40.25,-83.00,2009-04-27
EPI184332,38.90,-77.04,2009-04-27
EPI184335,44.50,-90.00,2009-04-27
EPI184337,39.00,-75.50,2009-04-28
EPI184340,39.00,-75.50,2009-04-28
EPI184346,40.27,-76.91,2009-04-28
EPI184350,40.00,-86.25,2009-04-29
EPI184353,31.00,-92.00,2009-04-29
EPI184357,39.25,-116.75,2009-04-29
EPI184362,30.27,-97.74,2009-04-29
EPI184365,21.31,-157.86,2009-04-30
EPI184369,40.27,-76.91,2009-04-30
EPI184373,35.47,-97.52,2009-05-01
EPI184378,44.50,-90.00,2009-05-07
EPI184380,40.71,-74.01,2009-05-08
EPI184383,40.71,-74.01,2009-05-23
EPI184385,41.75,-71.50,2009-06-01
EPI184390,-22.99,-58.00,2009-06-02
EPI184393,40.17,-74.50,2009-05-01
EPI184517,1.37,103.80,2009-06-02
EPI184541,1.37,103.80,2009-06-15
