strain_name,latitude,longitude
taxid519821,38,-98
taxid519823,38,-98
taxid519824,38,-98
taxid519825,38,-98
taxid542846,38,-98
taxid542850,38,-98
taxid542852,38,-98
taxid542867,38,-98
taxid542880,38,-98
taxid542884,38,-98
taxid542885,38,-98
taxid542889,38,-98
taxid542952,38,-98
taxid542953,38,-98
taxid542955,38,-98
taxid542956,38,-98
taxid547400,38,-98
taxid551230,38,-98
taxid551234,46,105
taxid552635,38,-98
taxid552791,38,-98
taxid569277,38,-98
taxid569278,38,-98
taxid569279,38,-98
taxid569280,38,-98
taxid569281,38,-98
taxid569283,38,-98
taxid569284,38,-98
taxid569285,38,-98
taxid569287,38,-98
taxid569288,38,-98
taxid569289,38,-98
taxid569290,38,-98
taxid569291,38,-98
taxid569292,38,-98
taxid569293,38,-98
taxid569294,38,-98
taxid569295,38,-98
taxid569296,38,-98
taxid569297,38,-98
taxid569298,38,-98
taxid569299,38,-98
taxid569300,38,-98
taxid569301,38,-98
taxid569302,38,-98
taxid569303,38,-98
taxid569304,38,-98
taxid569305,38,-98
taxid569306,38,-98
taxid569307,38,-98
taxid569308,38,-98
taxid569309,38,-98
taxid569310,38,-98
taxid569311,38,-98
taxid569312,38,-98
taxid569313,38,-98
taxid569314,38,-98
taxid569315,38,-98
taxid569316,38,-98
taxid569317,38,-98
taxid569318,38,-98
taxid569319,38,-98
taxid569320,38,-98
taxid569321,38,-98
taxid569322,38,-98
taxid569323,38,-98
taxid569324,38,-98
taxid569325,38,-98
taxid569327,38,-98
taxid569328,38,-98
taxid569329,38,-98
taxid569330,38,-98
taxid569331,38,-98
taxid569332,38,-98
taxid569333,38,-98
taxid569334,38,-98
taxid569335,38,-98
taxid569336,38,-98
taxid569337,38,-98
taxid569338,38,-98
taxid569339,38,-98
taxid569340,38,-98
taxid569341,38,-98
taxid569342,38,-98
taxid569343,38,-98
taxid569344,38,-98
taxid569345,38,-98
taxid569346,38,-98
taxid569347,38,-98
taxid569348,38,-98
taxid569349,38,-98
taxid569350,38,-98
taxid570902,30,70
taxid570903,30,70
taxid570904,30,70
taxid576144,54,-4.5
taxid578377,38,-98
taxid578378,38,-98
taxid578379,38,-98
taxid578380,38,-98
taxid578381,38,-98
taxid578382,38,-98
