taxid583037,20,-157.83,2008-01-01
taxid583041,40.83,-76,2008-01-01
taxid583042,40.83,-76,2008-01-01
taxid583043,30,-100,2008-01-01
taxid583044,30,-100,2008-01-01
taxid583045,30,-100,2008-01-01
taxid583046,30,-100,2008-01-01
taxid583047,45,-90,2008-01-01
taxid589323,52.16,4.5,2008-01-01
taxid589324,52.16,4.5,2008-01-01
taxid591292,47.33,13.33,2008-01-01
taxid593932,65,-153,2008-01-01
taxid593933,34,-112,2008-01-01
taxid593936,39,75.66,2008-01-01
taxid593937,28,-82,2008-01-01
taxid593938,28,-82,2008-01-01
taxid593939,28,-82,2008-01-01
taxid593940,28,-82,2008-01-01
taxid593942,20,-157.83,2008-01-01
taxid593943,20,-157.83,2008-01-01
taxid593944,20,-157.83,2008-01-01
taxid593948,45,-115,2008-01-01
taxid593949,40,-89,2008-01-01
taxid593950,40,-89,2008-01-01
taxid593951,40,-89,2008-01-01
taxid593952,49,-76.83,2008-01-01
taxid593953,49,-76.83,2008-01-01
taxid593955,42.25,71.83,2008-01-01
taxid593956,42.25,71.83,2008-01-01
taxid593957,44,-85,2008-01-01
taxid593958,44,-85,2008-01-01
taxid593960,46,-94,2008-01-01
taxid593962,41.5,-100,2008-01-01
taxid593963,40,-75,2008-01-01
taxid593966,47,-100,2008-01-01
taxid593967,34,-80,2008-01-01
taxid593968,35.5,-85,2008-01-01
taxid593969,30,-100,2008-01-01
taxid593970,30,-100,2008-01-01
taxid593971,30,-100,2008-01-01
taxid593972,37,-80,2008-01-01
taxid593973,47,-120,2008-01-01
taxid593976,45,-90,2008-01-01
taxid593977,45,-90,2008-01-01
taxid598575,-26.16,28.03,2008-01-01
taxid598576,-26.16,28.03,2008-01-01
taxid598577,33.05,-92.66,2008-01-01
taxid598578,-31.96,115.81,2008-01-01
taxid598579,-31.96,115.81,2008-01-01
taxid598580,13,122,2008-01-01
taxid598581,-25,135,2008-01-01
taxid598582,-33.91,151.16,2008-01-01
taxid598583,-37.83,145.2,2008-01-01
