strain_name,latitude,longitude
taxid445382,42.83,12.83
taxid159207,42.83,12.83
taxid159231,42.83,12.83
taxid445378,42.83,12.83
taxid159209,42.83,12.83
taxid159210,42.83,12.83
taxid445379,42.83,12.83
taxid445381,42.83,12.83
taxid433438,42.83,12.83
taxid159215,42.83,12.83
taxid159216,42.83,12.83
taxid445370,42.83,12.83
taxid445366,42.83,12.83
taxid159223,42.83,12.83
taxid159225,42.83,12.83
taxid159227,42.83,12.83
taxid159230,42.83,12.83
taxid159228,42.83,12.83
taxid159229,42.83,12.83
taxid159233,42.83,12.83
taxid170844,40,-75
taxid170845,38,-98
taxid226655,40,-75
taxid170847,43,-75
taxid170848,40,-75
taxid170849,43,-75
taxid192000,46,-94
taxid192001,50,-86
taxid192002,55,-115
taxid192003,55,-115
taxid192004,35,105
taxid192005,45.63,10.3
taxid192007,-42,174
taxid192008,50,-86
taxid87507,40.83,-76
taxid87510,40.83,-76
taxid87506,40.83,-76
taxid87500,43,-75
taxid87505,43,-75
taxid87508,43,-75
taxid87498,43,-75
taxid87496,43,-75
taxid454446,43,-75
taxid226617,43,-75
taxid226618,43,-75
taxid226619,43,-75
taxid226620,43,-75
taxid226621,43,-75
taxid226624,40,-75
taxid226625,40,-75
taxid226626,40,-75
taxid226627,40,-75
taxid226628,40,-75
taxid226629,43,-75
taxid226632,43,-75
taxid226633,43,-75
taxid226635,43,-75
taxid226637,43,-75
taxid226640,40.83,-76
taxid226641,40.83,-76
taxid226642,40.83,-76
taxid226643,40.83,-76
taxid226644,40.83,-76
taxid226645,37,-80
taxid226647,42.25,71.8333
taxid226648,40,-75
taxid226649,35.5,-80
taxid226650,40,-75
taxid552791,37,-80
taxid226652,37,-80
taxid226653,37,-80
taxid226654,40,-75
taxid226656,43,-75
taxid226657,40,-75
taxid226658,43,-75
taxid226659,43,-75
taxid226660,43,-75
taxid226662,43,-75
taxid226664,43,-75
taxid198311,42.83,12.83
taxid199442,42.83,12.83
taxid200395,42.83,12.83
taxid200396,42.83,12.83
taxid200608,42.83,12.83
taxid352523,42.83,12.83
taxid200610,42.83,12.83
taxid200611,42.83,12.83
taxid242047,42.83,12.83
taxid244948,-30,-71
taxid244949,-30,-71
taxid244950,-30,-71
taxid244951,-30,-71
taxid244952,-30,-71
taxid244953,-30,-71
taxid247487,-33.45,-70.67
taxid251297,52.5000,5.75
taxid251305,52.5000,5.75
taxid251306,52.5000,5.75
taxid251298,52.5000,5.75
taxid251309,52.5000,5.75
taxid251310,52.5000,5.75
taxid258962,51.5,10.5
taxid265120,42.83,12.83
taxid267381,55,-125
taxid273683,49.22,-123.1
taxid279386,42.83,12.83
taxid279570,55,-125
taxid283366,55,-125
taxid284241,55,-125
taxid284523,55,-125
taxid285967,55,-125
taxid290499,30.24,115.18
taxid292791,55,-125
taxid293052,55,-125
taxid293322,55,-125
taxid293820,55,-125
taxid294371,55,-125
taxid293181,55,-125
taxid278126,51.5,10.5
taxid278128,51.5,10.5
taxid278129,53,-8
taxid278189,42.83,12.83
taxid278190,42.83,12.83
taxid278191,51.5,10.5
taxid302450,22.25,114.18
taxid173719,42.83,12.83
taxid304341,39,75.6667
