strain_name,latitude,longitude
MTB_T17,15.59305,120.739067
MTB_T67,36.894451,104.165649
MTB_T83,15.97421,107.868042
MTB_T85,36.894451,104.165649
MTB_T92,15.59305,120.739067
MTB_V119BJ,15.97421,107.868042
MTB_V173IO,15.97421,107.868042
MTB_V212BJ,15.97421,107.868042
MTB_V232IO,15.97421,107.868042
MTB_V293EA,15.97421,107.868042
MTB_V318EA,15.97421,107.868042
MTB_V346IO,15.97421,107.868042
MTB_V355EA,15.97421,107.868042
MTB_V367IO,15.97421,107.868042
MTB_V372IO,15.97421,107.868042
MTB_V374BJ,15.97421,107.868042
MTB_V440EA,15.97421,107.868042
MTB_V639EA,15.97421,107.868042
MTB_X581,0,0
MTB_X632,0,0
MTB_X721,0,0
NG-5604_BTB-1192,0,0
NG-5604_BTBH-079,0,0
NG-5604_BTBH-1012,0,0
NG-5604_BTBH-1058,0,0
NG-5604_BTBH-114,0,0
NG-5604_BTBH-122,0,0
NG-5604_BTBH-132,0,0
NG-5604_BTBH-217,0,0
NG-5604_BTBH-273,0,0
NG-5604_BTBH-452,0,0
NG-5604_BTBH-485,0,0
NG-5604_BTBH-568,0,0
NG-5604_BTBH-569,0,0
NG-5604_BTBH-587,0,0
NG-5604_BTBH-590,0,0
NG-5604_BTBH-721,0,0
NG-5604_BTBH-935,0,0
NG-5604_BTBH-956,0,0
NG-5604_BTBH-962,0,0
NG-5604_BTBS-101,0,0
NG-5604_BTBS-136,0,0
NG-5604_BTBS-152,0,0
NG-5604_BTBS-236,0,0
NG-5604_BTBS-239,0,0
NG-5604_BTBS-264,0,0
NG-5604_BTBS-266,0,0
NG-5604_BTBS-280,0,0
NG-5604_BTBS-333,0,0
NG-5604_BTBS-458,0,0
NG-5604_BTBS-493,0,0
NG-5604_BTBS-495,0,0
NG-5604_BTBS-501,0,0
NG-5604_BTBS-517,0,0
NG-5604_BTBS-525,0,0
NG-5604_BTBS-564,0,0
NG-5604_BTBS-580,0,0
NG-5604_BTBS-610,0,0
NG-5604_BTBS-676,0,0
NG-5604_BTBS-693,0,0
NG-5604_BTBS-696,0,0
NG-5604_BTBS-704,0,0
NG-5604_BTBS-715,0,0
NG-5604_BTBS-746,0,0
NG-5604_MI05-00297,0,0
NG-5604_Mycobakterium_caprae,0,0
NG-5604_N0007,0,0
NG-5604_N0008,0,0
NG-5604_N0011,0,0
NG-5604_N0017,0,0
NG-5604_N0033,0,0
NG-5604_N0050,0,0
NG-5604_N0060,0,0
NG-5604_N0062,0,0
NG-5604_N0065,0,0
NG-5604_N0079,0,0
NG-5604_N0089,0,0
NG-5604_N0090,0,0
NG-5604_N0098,0,0
NG-5604_N0125,0,0
NG-5604_N0128,0,0
